symbol,option_type,strike,bid,ask,volume,open_interest,greeks.delta,greeks.bid_iv,expiration_date
SPY,put,400,1.94,2.39,300,0,0.29,0.59,2024-06-21
SPY,put,405,4.76,5.11,200,1000,0.32,0.57,2024-06-21
SPY,put,410,3.69,3.92,50,500,0.21,0.32,2024-06-21
SPY,put,415,3.03,3.16,500,200,0.34,0.27,2024-06-21
SPY,put,420,0.86,1.08,500,0,0.11,0.29,2024-06-21
SPY,put,425,0.86,1.09,100,0,0.11,0.26,2024-06-21
SPY,put,430,0.38,0.77,0,500,0.43,0.28,2024-06-21
SPY,put,435,4.34,4.7,0,200,0.24,0.49,2024-06-21
SPY,put,440,3.05,3.5,200,200,0.15,0.27,2024-06-21
SPY,put,445,3.57,3.86,100,1000,0.31,0.36,2024-06-21
SPY,put,450,0.2,0.35,500,200,0.41,0.55,2024-06-21
SPY,put,455,4.85,5.24,300,200,0.19,0.26,2024-06-21
SPY,put,460,4.18,4.58,100,200,0.35,0.54,2024-06-21
SPY,put,465,1.14,1.46,200,100,0.13,0.35,2024-06-21
SPY,put,470,0.99,1.4,200,1000,0.12,0.29,2024-06-21
SPY,put,475,1.0,1.3,100,0,0.31,0.49,2024-06-21
SPY,put,480,1.59,1.9,200,500,0.32,0.47,2024-06-21
SPY,put,485,2.67,2.94,100,0,0.35,0.56,2024-06-21
SPY,put,490,2.22,2.33,50,1000,0.39,0.51,2024-06-21
SPY,put,495,1.53,1.67,100,500,0.49,0.53,2024-06-21
SPY,put,500,3.1,3.21,100,1000,0.31,0.35,2024-06-21
SPY,put,505,0.78,1.13,200,200,0.23,0.31,2024-06-21
SPY,put,510,1.53,1.76,200,500,0.42,0.51,2024-06-21
SPY,put,515,1.9,2.2,0,200,0.21,0.53,2024-06-21
SPY,put,520,2.33,2.79,0,0,0.28,0.6,2024-06-21
SPY,put,525,3.95,4.15,50,0,0.13,0.39,2024-06-21
SPY,put,530,1.08,1.34,0,500,0.11,0.38,2024-06-21
SPY,put,535,2.62,3.02,100,500,0.49,0.52,2024-06-21
SPY,put,540,3.0,3.19,200,1000,0.43,0.37,2024-06-21
SPY,put,545,0.33,0.46,0,1000,0.38,0.58,2024-06-21
SPY,put,550,3.08,3.3,0,200,0.26,0.55,2024-06-21
SPY,put,555,0.94,1.1,50,500,0.17,0.4,2024-06-21
SPY,put,560,0.42,0.89,500,0,0.16,0.51,2024-06-21
SPY,put,565,4.75,5.17,50,1000,0.2,0.51,2024-06-21
SPY,put,570,4.83,5.18,100,1000,0.32,0.29,2024-06-21
SPY,put,575,4.06,4.51,200,0,0.39,0.57,2024-06-21
SPY,put,580,1.59,2.01,50,1000,0.36,0.43,2024-06-21
SPY,put,585,0.58,0.75,0,200,0.21,0.54,2024-06-21
SPY,put,590,3.45,3.91,200,500,0.48,0.36,2024-06-21
SPY,put,595,2.26,2.58,200,0,0.4,0.56,2024-06-21
SPY,call,600,0.7,1.12,0,500,-0.28,0.39,2024-06-21
SPY,call,605,2.53,2.99,50,1000,-0.26,0.25,2024-06-21
SPY,call,610,0.27,0.5,0,1000,-0.33,0.57,2024-06-21
SPY,call,615,4.56,4.7,500,0,-0.4,0.28,2024-06-21
SPY,call,620,1.37,1.56,200,200,-0.36,0.36,2024-06-21
SPY,call,625,3.35,3.62,300,100,-0.2,0.58,2024-06-21
SPY,call,630,1.63,2.06,300,0,-0.49,0.58,2024-06-21
